pclass,sex,age,sibsp,parch,fare,cabin,embarked,title
1,male,27.0,1,0,53.1,E,S, Mr
3,male,,1,2,23.45,,S, Mr
1,female,52.0,1,1,93.5,B,S, Mrs
3,male,39.0,0,0,7.925,,S, Mr
2,male,,0,0,12.875,,S, Mr
3,female,,0,0,7.6292,,Q, Miss
1,male,53.0,0,0,28.5,C,C, Col
3,male,29.0,1,0,7.0458,,S, Mr
3,female,,0,0,7.75,,Q, Ms
1,male,43.0,1,0,27.7208,D,C, Mr
2,male,21.0,0,0,73.5,,S, Mr
3,male,,0,0,8.05,,S, Mr
3,male,22.0,0,0,7.225,,C, Mr
3,male,24.0,0,0,7.55,,S, Mr
3,male,36.0,0,0,9.5,,S, Mr
3,female,22.0,0,0,7.75,,Q, Miss
1,male,23.0,0,0,93.5,B,S, Mr
1,female,54.0,1,1,81.8583,A,S, Mrs
2,female,24.0,1,0,27.7208,,C, Mrs
3,male,13.0,4,2,31.3875,,S, Master
3,male,20.0,0,0,8.6625,,S, Mr
3,female,,0,0,7.7792,,Q, Miss
1,male,36.0,1,0,78.85,C,S, Mr
2,male,30.0,0,0,13.0,,S, Mr
3,female,3.0,3,1,21.075,,S, Miss
2,male,47.0,0,0,15.0,,S, Mr
3,male,31.0,0,0,7.925,,S, Mr
3,male,,0,0,7.225,,C, Mr
3,male,,0,0,8.05,,S, Mr
2,female,36.0,1,0,26.0,,S, Mrs
3,male,30.0,0,0,7.8958,,S, Mr
3,male,28.0,0,0,22.525,,S, Mr
1,male,21.0,0,1,61.3792,,C, Mr
2,male,54.0,0,0,26.0,,S, Mr
3,male,22.0,1,0,7.25,,S, Mr
2,female,24.0,0,2,14.5,,S, Mrs
3,female,11.0,4,2,31.275,,S, Miss
3,female,23.0,0,0,8.6625,,S, Miss
1,male,46.0,0,0,26.0,,S, Mr
3,male,,0,0,7.225,,C, Mr
3,female,2.0,4,2,31.275,,S, Miss
3,female,,0,2,7.75,,Q, Miss
1,female,23.0,3,2,263.0,C,S, Miss
3,male,22.5,0,0,7.225,,C, Mr
2,male,40.0,1,0,26.0,,S, Mr
1,female,35.0,1,0,90.0,C,S, Mrs
3,female,,0,0,8.05,,S, Miss
1,female,26.0,1,0,136.7792,C,C, Mrs
3,male,19.0,0,0,8.05,,S, Mr
3,male,1.0,4,1,39.6875,,S, Master
2,male,2.0,1,1,26.0,F,S, Master
3,female,,0,2,15.2458,,C, Mrs
1,female,60.0,1,4,263.0,C,S, Mrs
3,female,,0,0,7.75,,Q, Miss
2,male,41.0,0,0,13.0,,S, Rev
3,male,24.0,0,0,7.775,,S, Mr
3,male,24.0,0,0,7.7958,,S, Mr
2,male,42.0,1,1,32.5,,S, Mr
3,female,27.0,1,0,7.925,,S, Miss
2,female,24.0,0,0,13.0,,S, Miss
3,male,33.0,0,0,8.6542,,S, Mr
2,male,59.0,0,0,13.5,,S, Mr
1,female,36.0,0,0,31.6792,A,C, Miss
1,female,62.0,0,0,80.0,B,, Mrs
3,male,,0,0,7.8958,,S, Mr
2,female,18.0,0,1,23.0,,S, Miss
1,female,23.0,0,1,83.1583,C,C, Mrs
3,male,38.0,0,0,7.05,,S, Mr
3,male,,0,0,7.2292,,C, Mr
3,female,10.0,0,2,24.15,,S, Miss
2,male,19.0,0,0,10.5,,S, Mr
3,female,30.0,0,0,7.6292,,Q, Miss
2,female,26.0,1,1,26.0,,S, Mrs
1,male,37.0,1,1,83.1583,E,C, Mr
3,female,38.0,0,0,7.2292,,C, Mrs
2,female,21.0,0,1,21.0,,S, Miss
2,male,23.0,0,0,13.0,,S, Mr
2,male,34.0,0,0,13.0,,S, Mr
3,male,,0,0,8.7125,,S, Mr
3,male,26.0,0,0,7.775,,S, Mr
3,male,21.0,0,0,7.8208,,Q, Mr
3,male,51.0,0,0,8.05,,S, Mr
3,male,18.0,0,0,7.75,,S, Mr
1,female,16.0,0,1,39.4,D,S, Miss
3,male,,0,0,8.05,,S, Mr
3,male,28.5,0,0,7.2292,,C, Mr
1,male,26.0,0,0,30.0,C,C, Mr
2,male,27.0,0,0,13.0,,S, Mr
3,male,4.0,4,2,31.275,,S, Master
1,female,33.0,1,0,90.0,C,Q, Miss
3,female,45.0,0,1,14.4542,,C, Mrs
2,female,31.0,0,0,21.0,,S, Miss
1,female,31.0,0,2,164.8667,C,S, Miss
1,female,58.0,0,1,512.3292,B,C, Mrs
1,male,30.0,1,2,151.55,C,S, Mr
3,male,,0,0,56.4958,,S, Mr
1,female,63.0,1,0,77.9583,D,S, Miss
3,male,24.0,0,0,7.05,,S, Mr
1,female,43.0,0,1,211.3375,B,S, Mrs
1,male,48.0,0,0,50.4958,B,C, Mr
3,male,50.0,1,0,14.5,,S, Mr
1,female,49.0,1,0,76.7292,D,C, Mrs
1,female,30.0,0,0,56.9292,E,C, Miss
3,male,,0,0,8.05,,S, Mr
2,female,41.0,0,1,19.5,,S, Mrs
3,female,22.0,0,0,8.9625,,S, Miss
3,male,,0,0,8.4583,,Q, Mr
3,female,15.0,0,0,8.0292,,Q, Miss
1,male,24.0,1,0,60.0,C,S, Mr
3,male,18.0,0,0,8.05,,S, Mr
3,male,43.0,0,0,6.45,,S, Mr
1,male,28.0,0,0,26.55,C,S, Mr
3,male,,1,0,16.1,,S, Mr
3,male,24.0,0,0,7.8542,,S, Mr
3,male,40.0,1,1,15.5,,Q, Mr
3,female,24.0,0,0,7.75,,Q, Miss
1,male,45.0,0,0,29.7,A,C, Mr
1,female,18.0,2,2,262.375,B,C, Miss
3,male,26.0,2,0,8.6625,,S, Mr
3,male,33.0,0,0,8.05,,S, Mr
2,female,26.0,0,0,13.5,,S, Miss
3,male,,0,0,7.2292,,C, Mr
3,male,,0,0,7.775,,S, Mr
2,male,,0,0,10.7083,,Q, Mr
3,male,,0,0,7.8958,,S, Mr
1,male,51.0,0,1,61.3792,,C, Mr
1,female,35.0,1,0,83.475,C,S, Mrs
3,male,,0,0,6.4375,,C, Mr
3,male,24.0,0,0,7.4958,,S, Mr
1,male,41.0,0,0,30.5,A,S, Mr
2,female,31.0,0,0,21.0,,S, Mrs
3,male,23.0,0,0,7.7958,,S, Mr
3,female,5.0,2,1,19.2583,,C, Miss
2,male,31.0,1,1,37.0042,,C, Mr
3,male,32.0,0,0,8.3625,,S, Mr
1,female,59.0,2,0,51.4792,C,S, Mrs
1,male,30.0,0,0,27.75,C,C, Mr
2,male,27.0,1,0,26.0,,S, Mr
3,male,7.0,4,1,29.125,,Q, Master
3,male,20.0,0,0,7.925,,S, Mr
3,male,10.0,3,2,27.9,,S, Master
2,female,20.0,2,1,23.0,,S, Miss
1,female,30.0,0,0,86.5,B,S, Miss
2,male,57.0,0,0,13.0,,S, Mr
3,female,23.0,0,0,7.925,,S, Miss
2,male,25.0,0,0,13.0,,S, Mr
3,male,,0,0,7.725,,Q, Mr
1,male,35.0,0,0,512.3292,B,C, Mr
3,male,22.0,0,0,7.7958,,S, Mr
3,male,29.0,3,1,22.025,,S, Mr
3,male,21.0,0,0,8.05,,S, Mr
2,male,26.0,1,1,29.0,,S, Mr
3,male,36.0,1,1,24.15,,S, Mr
2,female,30.0,1,0,13.8583,,C, Miss
3,female,25.0,1,0,7.925,,S, Miss
3,male,,1,0,15.5,,Q, Mr
1,male,47.0,1,0,227.525,C,C, Col
1,male,50.0,1,1,211.5,C,C, Mr
3,female,18.0,0,0,6.75,,Q, Miss
3,female,15.0,0,0,7.225,,C, Miss
3,male,43.0,0,0,8.05,,S, Mr
1,male,46.0,0,0,79.2,B,C, Mr
1,female,40.0,0,0,153.4625,C,S, Miss
2,female,25.0,1,1,30.0,,S, Miss
3,male,47.0,0,0,7.25,,S, Mr
3,male,27.0,0,0,7.225,,C, Mr
3,male,29.0,0,0,7.75,,Q, Mr
3,male,42.0,0,1,8.4042,,S, Mr
3,male,61.0,0,0,6.2375,,S, Mr
1,male,33.0,0,0,26.55,,S, Mr
3,female,63.0,0,0,9.5875,,S, Mrs
1,female,49.0,0,0,25.9292,D,S, Dr
3,male,,1,9,69.55,,S, Mr
2,male,24.0,2,0,31.5,,S, Mr
3,female,,0,0,7.7375,,Q, Miss
2,female,27.0,1,0,13.8583,,C, Miss
3,male,,0,0,7.8792,,S, Mr
3,female,10.0,5,2,46.9,,S, Miss
2,male,18.5,0,0,13.0,F,S, Mr
3,female,18.0,0,0,7.2292,,C, Mrs
2,female,15.0,0,2,39.0,,S, Miss
2,male,39.0,0,0,13.0,,S, Mr
3,male,22.0,0,0,7.7958,,S, Mr
1,female,48.0,1,1,79.2,B,C, Mrs
3,male,,0,0,8.05,,S, Mr
3,male,22.0,0,0,8.05,,S, Mr
3,male,4.0,1,1,11.1333,,S, Master
3,male,20.0,0,0,7.8542,,S, Mr
2,male,30.0,0,0,13.0,,S, Mr
2,female,24.0,1,2,65.0,,S, Miss
2,female,5.0,1,2,27.75,,S, Miss
3,male,36.0,0,0,7.4958,,S, Mr
3,female,,1,0,14.4542,,C, Miss
3,male,17.0,1,0,7.0542,,S, Mr
3,female,,0,0,8.05,,S, Miss
2,male,52.0,0,0,13.5,,S, Mr
3,female,,1,0,24.15,,Q, Miss
2,male,0.8333,0,2,29.0,,S, Master
2,male,51.0,0,0,12.525,,S, Rev
3,female,30.0,0,0,8.6625,,S, Miss
1,male,49.0,0,0,26.0,,S, Mr
3,male,23.0,0,0,7.05,,S, Mr
1,male,52.0,0,0,30.5,C,S, Major
3,female,43.0,1,6,46.9,,S, Mrs
1,male,,0,0,26.55,D,S, Mr
3,male,41.0,0,0,7.85,,S, Mr
2,female,20.0,1,0,26.0,,S, Miss
3,male,19.0,0,0,8.05,,S, Mr
1,female,18.0,0,2,79.65,E,S, Miss
3,male,24.0,0,0,9.325,,S, Mr
1,female,22.0,0,1,59.4,,C, Miss
2,male,18.0,0,0,11.5,,S, Mr
1,female,29.0,0,0,211.3375,B,S, Miss
3,female,19.0,1,1,15.7417,,C, Mrs
2,female,28.0,1,0,24.0,,C, Mrs
2,female,24.0,1,0,26.0,,S, Mrs
1,male,37.0,1,1,52.5542,D,S, Mr
3,female,,0,0,7.8792,,Q, Miss
3,male,22.0,0,0,7.5208,,S, Mr
3,male,15.0,1,1,7.2292,,C, Mr
2,male,31.0,0,0,10.5,,S, Mr
1,female,16.0,0,0,86.5,B,S, Miss
1,female,19.0,0,0,30.0,B,S, Miss
1,male,44.0,2,0,90.0,C,Q, Dr
3,male,38.0,0,0,7.8958,,S, Mr
1,female,26.0,0,0,78.85,,S, Miss
2,male,32.0,2,0,73.5,,S, Mr
3,male,45.0,0,0,6.975,,S, Mr
3,female,,1,0,15.5,,Q, Miss
1,female,18.0,1,0,227.525,C,C, Mrs
1,male,28.0,0,0,47.1,,S, Mr
1,female,55.0,2,0,25.7,C,S, Mrs
2,male,26.0,0,0,13.0,,S, Mr
3,female,,0,0,7.55,,S, Miss
3,male,39.0,1,5,31.275,,S, Mr
1,male,80.0,0,0,30.0,A,S, Mr
3,male,21.0,0,0,7.8542,,S, Mr
3,male,22.0,0,0,7.25,,S, Mr
3,female,,1,1,22.3583,F,C, Miss
3,male,20.0,0,0,4.0125,,C, Mr
3,male,45.5,0,0,7.225,,C, Mr
2,female,24.0,2,3,18.75,,S, Mrs
3,female,16.0,0,0,7.65,,S, Miss
1,male,47.0,0,0,38.5,E,S, Mr
1,male,,0,0,27.7208,,C, Mr
3,female,30.0,1,1,24.15,,S, Mrs
1,male,31.0,0,0,50.4958,A,S, Mr
2,female,30.0,3,0,21.0,,S, Mrs
3,male,,0,0,7.7292,,Q, Mr
3,male,31.0,0,0,7.775,,S, Mr
3,male,8.0,4,1,29.125,,Q, Master
1,female,47.0,1,1,52.5542,D,S, Mrs
3,male,21.0,0,0,7.7958,,S, Mr
3,male,25.0,1,0,7.775,,S, Mr
1,female,33.0,0,0,86.5,B,S, the Countess
1,male,50.0,2,0,133.65,,S, Dr
2,male,33.0,0,0,12.275,,S, Mr
2,female,4.0,1,1,23.0,,S, Miss
3,male,,0,0,8.05,,S, Mr
3,male,,0,0,7.75,,Q, Mr
1,male,42.0,0,0,26.2875,E,S, Mr
3,male,35.0,0,0,7.8958,,C, Mr
3,male,10.0,4,1,29.125,,Q, Master
1,male,50.0,1,0,55.9,E,S, Mr
2,female,45.0,0,2,30.0,,S, Mrs
3,male,38.0,0,0,8.6625,,S, Mr
3,male,30.0,0,0,8.05,,S, Mr
2,female,54.0,1,3,23.0,,S, Mrs
3,male,2.0,4,1,29.125,,Q, Master
2,male,44.0,1,0,26.0,,S, Mr
3,female,1.0,1,1,12.1833,,S, Miss
3,male,34.0,0,0,8.05,,S, Mr
2,male,27.0,0,0,26.0,,S, Mr
3,male,18.5,0,0,7.2292,,C, Mr
2,male,24.0,0,0,13.0,,S, Mr
1,male,,0,0,26.55,C,S, Mr
1,male,55.0,1,0,59.4,,C, Mr
3,female,,8,2,69.55,,S, Miss
2,female,19.0,0,0,26.0,,S, Miss
3,male,42.0,0,0,7.55,,S, Mr
2,male,32.0,1,0,26.0,,S, Mr
1,male,71.0,0,0,49.5042,,C, Mr
2,male,29.0,0,0,13.8583,,C, Mr
1,female,39.0,1,1,110.8833,C,C, Mrs
3,male,,8,2,69.55,,S, Master
1,male,19.0,1,0,53.1,D,S, Mr
1,female,50.0,1,1,211.5,C,C, Mrs
1,female,45.0,1,0,52.5542,D,S, Mrs
3,male,31.0,3,0,18.0,,S, Mr
1,male,,0,0,26.0,,S, Mr
3,male,40.5,0,0,15.1,,S, Mr
3,male,30.0,0,0,7.225,,C, Mr
1,male,21.0,0,1,77.2875,D,S, Mr
2,male,24.0,0,0,13.5,,S, Mr
1,female,,1,0,82.1708,,C, Mrs
3,female,16.0,5,2,46.9,,S, Miss
1,male,25.0,0,0,26.0,,C, Mr
3,male,33.0,0,0,9.5,,S, Mr
2,male,37.0,1,0,26.0,,S, Mr
1,male,,0,0,25.7417,,C, Mr
2,male,49.0,1,2,65.0,,S, Mr
2,male,21.0,2,0,73.5,,S, Mr
1,male,47.0,0,0,34.0208,D,S, Mr
3,female,,0,0,7.7208,,Q, Miss
3,male,21.0,0,0,7.8958,,S, Mr
3,male,33.0,1,1,20.525,,S, Mr
1,female,31.0,1,0,113.275,D,C, Miss
2,male,8.0,0,2,32.5,,S, Master
3,male,44.0,0,1,16.1,,S, Mr
3,male,51.0,0,0,7.0542,,S, Mr
1,female,35.0,1,0,57.75,C,C, Mrs
1,male,65.0,0,1,61.9792,B,C, Mr
3,male,22.0,0,0,9.0,,S, Mr
3,male,33.0,0,0,7.8542,,S, Mr
3,male,16.0,0,0,9.2167,,S, Mr
3,female,13.0,0,0,7.2292,,C, Miss
3,male,,0,0,8.05,,S, Mr
3,male,19.0,0,0,0.0,,S, Mr
1,male,,0,0,30.0,D,S, Mr
3,male,27.0,0,0,6.975,,S, Mr
3,female,8.0,3,1,21.075,,S, Miss
3,female,35.0,0,0,7.75,,Q, Miss
1,female,19.0,0,2,26.2833,D,S, Miss
2,male,29.0,1,0,26.0,,S, Mr
3,male,,0,0,8.05,,S, Mr
1,female,54.0,1,0,78.2667,D,C, Miss
3,male,28.0,0,0,8.05,,S, Mr
3,female,22.0,0,0,9.8375,,S, Miss
3,male,38.5,0,0,7.25,,S, Mr
2,female,36.0,0,0,13.0,D,S, Mrs
3,male,26.0,1,2,20.575,,S, Mr
3,male,20.0,1,0,7.925,,S, Mr
1,male,42.0,1,0,52.5542,D,S, Mr
2,female,19.0,1,0,26.0,,S, Mrs
3,male,19.0,0,0,7.775,,S, Mr
3,male,27.0,0,0,8.6625,,S, Mr
1,male,,0,0,221.7792,C,S, Mr
3,male,40.5,0,0,7.75,,Q, Mr
1,female,2.0,1,2,151.55,C,S, Miss
3,female,29.0,1,1,10.4625,G,S, Mrs
3,male,0.4167,0,1,8.5167,,C, Master
1,female,,0,0,110.8833,,C, Miss
3,male,21.0,0,0,7.775,,S, Mr
3,male,,0,0,8.05,,S, Mr
3,male,,1,1,14.5,,S, Master
3,female,,0,0,8.05,,S, Miss
3,male,21.0,2,0,24.15,,S, Mr
3,male,1.0,5,2,46.9,,S, Master
3,male,32.0,0,0,56.4958,,S, Mr
2,male,43.0,0,1,21.0,,S, Mr
1,female,,0,0,79.2,,C, Mrs
2,male,24.0,0,0,10.5,,S, Mr
3,female,2.0,1,1,20.2125,,S, Miss
3,female,,0,0,7.7333,,Q, Miss
1,male,19.0,3,2,263.0,C,S, Mr
2,male,26.0,0,0,13.0,F,S, Mr
3,male,35.0,0,0,7.05,,S, Mr
3,female,18.0,0,0,9.8417,,S, Miss
1,female,38.0,0,0,80.0,B,, Miss
1,male,,0,0,39.6,,C, Dr
2,male,21.0,1,0,11.5,,S, Mr
3,male,,0,0,7.55,,S, Mr
3,male,,0,0,7.75,,Q, Mr
3,male,40.0,1,6,46.9,,S, Mr
3,male,,0,0,7.225,,C, Mr
1,male,40.0,0,0,0.0,B,S, Mr
3,male,29.0,0,0,9.5,,S, Mr
3,male,6.0,3,1,21.075,,S, Master
1,male,37.0,1,0,53.1,C,S, Mr
1,female,58.0,0,1,153.4625,C,S, Mrs
3,male,32.0,0,0,7.925,,S, Mr
3,female,41.0,0,5,39.6875,,S, Mrs
1,female,51.0,1,0,77.9583,D,S, Mrs
3,male,23.0,0,0,7.8958,,S, Mr
3,male,30.0,1,0,16.1,,S, Mr
3,male,23.0,0,0,9.225,,S, Mr
3,male,19.0,0,0,6.75,,Q, Mr
3,male,21.0,1,0,6.4958,,S, Mr
1,male,32.0,0,0,30.5,B,C, Dr
1,male,54.0,0,1,77.2875,D,S, Mr
3,male,35.0,0,0,7.125,,S, Mr
2,male,21.0,1,0,11.5,,S, Mr
3,male,,0,0,7.225,,C, Mr
2,male,29.0,1,0,21.0,,S, Mr
3,male,,0,0,7.8958,,S, Mr
3,female,,8,2,69.55,,S, Miss
2,female,29.0,1,0,26.0,,S, Mrs
3,female,30.5,0,0,7.75,,Q, Miss
3,male,20.0,0,0,9.8458,,S, Mr
3,female,,0,0,8.1125,,S, Mrs
3,female,22.0,0,0,10.5167,,S, Miss
1,male,,0,0,26.55,,S, Mr
3,female,19.0,0,0,7.8792,,Q, Miss
2,female,12.0,0,0,15.75,,S, Miss
1,female,39.0,1,1,83.1583,E,C, Miss
2,male,25.0,0,0,10.5,,S, Mr
2,female,28.0,0,0,12.65,,S, Mrs
1,male,11.0,1,2,120.0,B,S, Master
3,male,34.0,0,0,8.05,,S, Mr
3,male,,0,0,7.225,,C, Mr
3,male,21.0,0,0,7.7958,,S, Mr
3,male,29.0,0,0,9.4833,,S, Mr
3,male,,0,0,8.05,,S, Mr
2,male,66.0,0,0,10.5,,S, Mr
1,male,45.0,0,0,26.55,B,S, Major
3,female,,3,1,25.4667,,S, Miss
3,female,23.0,0,0,7.8542,,S, Miss
3,male,26.0,1,0,14.4542,,C, Mr
1,male,27.0,0,2,211.5,C,C, Mr
3,male,24.0,0,0,9.5,,S, Mr
2,male,29.0,1,0,27.7208,,C, Mr
1,male,50.0,1,0,106.425,C,C, Mr
1,male,38.0,1,0,90.0,C,S, Mr
3,male,21.0,0,0,7.25,,S, Mr
3,male,24.0,0,0,8.05,,S, Mr
3,male,49.0,0,0,0.0,,S, Mr
2,male,22.0,0,0,10.5,,S, Mr
2,male,,0,0,0.0,,S, Mr
3,male,32.0,0,0,7.925,,S, Mr
1,male,,0,0,31.0,,S, Mr
2,male,8.0,1,1,36.75,,S, Master
3,male,11.5,1,1,14.5,,S, Master
3,female,18.0,0,0,7.775,,S, Miss
3,male,16.0,0,0,8.05,,S, Mr
3,male,24.5,0,0,8.05,,S, Mr
3,female,4.0,0,1,13.4167,,C, Miss
3,male,26.0,1,0,7.8542,,S, Mr
1,male,36.0,0,0,26.2875,E,S, Mr
3,female,21.0,0,0,7.65,,S, Miss
2,female,40.0,0,0,13.0,,S, Miss
1,female,50.0,0,1,247.5208,B,C, Mrs
3,male,60.5,0,0,,,S, Mr
1,female,58.0,0,0,26.55,C,S, Miss
3,female,38.0,4,2,7.775,,S, Miss
3,male,,0,0,8.05,,S, Mr
3,male,20.0,0,0,7.8542,,S, Mr
3,male,18.0,0,0,7.7958,,S, Mr
3,female,28.0,0,0,7.8958,,S, Miss
3,female,15.0,1,0,14.4542,,C, Mrs
2,male,25.0,0,0,31.5,,S, Mr
3,male,,0,0,7.75,,Q, Mr
2,male,30.0,1,0,24.0,,C, Mr
3,male,25.0,0,0,7.7417,,Q, Mr
2,male,1.0,0,2,37.0042,,C, Master
1,male,23.0,0,1,63.3583,D,C, Mr
3,male,,0,0,7.05,,S, Mr
2,male,42.0,1,0,27.0,,S, Mr
3,female,,0,0,7.75,,Q, Miss
3,male,44.0,0,0,8.05,,S, Mr
1,male,64.0,0,0,26.0,,S, Mr
3,male,,0,0,14.5,,S, Mr
2,female,18.0,1,1,13.0,,S, Miss
1,male,42.0,0,0,26.55,,S, Mr
3,female,,1,0,15.5,,Q, Miss
3,male,19.0,0,0,7.8958,,S, Mr
1,male,54.0,0,0,51.8625,E,S, Mr
1,male,31.0,0,0,28.5375,C,C, Mr
1,male,65.0,0,0,26.55,E,S, Mr
1,male,54.0,1,0,55.4417,C,C, Mr
3,male,26.0,0,0,7.8958,,S, Mr
1,male,60.0,0,0,26.55,,S, Col
2,male,21.0,0,0,11.5,,S, Mr
3,male,,0,0,7.75,,Q, Mr
2,female,23.0,0,0,13.7917,D,C, Mrs
3,female,23.0,0,0,7.55,,S, Miss
3,male,,0,0,7.8958,,S, Mr
2,female,55.0,0,0,16.0,,S, Mrs
1,male,37.0,0,1,29.7,C,C, Mr
1,female,44.0,0,1,57.9792,B,C, Mrs
3,male,28.0,0,0,9.5,,S, Mr
3,male,39.0,0,0,7.925,,S, Mr
1,male,38.0,0,1,153.4625,C,S, Mr
3,male,,0,0,8.05,,S, Mr
3,male,21.0,0,0,7.8542,,S, Mr
1,female,36.0,0,0,135.6333,C,C, Miss
1,male,24.0,1,0,82.2667,B,S, Mr
2,male,30.0,0,0,13.0,,S, Mr
3,male,25.0,0,0,7.2292,F,C, Mr
2,male,19.0,0,0,10.5,,S, Mr
3,female,31.0,0,0,7.8542,,S, Miss
3,male,31.0,0,0,7.75,,Q, Mr
3,male,,0,0,7.8958,,C, Mr
3,female,16.0,0,0,7.75,,Q, Miss
2,female,30.0,0,0,12.35,,Q, Miss
2,male,41.0,0,0,15.0458,,C, Mr
3,male,9.0,5,2,46.9,,S, Master
3,female,27.0,0,1,12.475,E,S, Mrs
3,male,32.0,0,0,7.8542,,S, Mr
3,male,18.0,0,0,8.3,,S, Mr
1,female,38.0,1,0,71.2833,C,C, Mrs
1,male,67.0,1,0,221.7792,C,S, Mr
3,male,11.0,0,0,18.7875,,C, Mr
3,female,29.0,0,4,21.075,,S, Mrs
2,female,34.0,1,1,32.5,,S, Mrs
1,male,,0,0,35.0,C,S, Mr
3,female,,0,2,22.3583,,C, Mrs
1,female,47.0,1,0,61.175,E,S, Mrs
3,male,,0,0,7.75,,Q, Mr
3,male,,0,0,7.8958,,S, Mr
3,male,18.0,0,0,8.6625,,S, Mr
1,male,70.0,1,1,71.0,B,S, Capt
3,male,23.0,0,0,7.8542,,S, Mr
1,male,46.0,1,0,61.175,E,S, Mr
3,male,,0,0,14.5,,S, Mr
3,male,65.0,0,0,7.75,,Q, Mr
3,female,17.0,0,1,16.1,,S, Miss
3,female,47.0,1,0,7.0,,S, Mrs
3,male,36.5,1,0,17.4,,S, Mr
2,male,,0,0,15.05,,C, Mr
2,male,47.0,0,0,10.5,,S, Mr
2,male,27.0,0,0,13.0,,S, Rev
3,male,29.0,0,0,8.05,,S, Mr
3,male,17.0,1,1,7.2292,,C, Mr
2,male,28.0,0,0,13.0,,S, Mr
1,male,36.0,1,2,120.0,B,S, Mr
3,male,,0,0,8.7125,,C, Mr
3,male,28.0,0,0,7.8958,,S, Mr
3,male,,0,0,7.75,,Q, Mr
3,male,,0,0,7.75,,Q, Mr
1,male,27.0,1,0,136.7792,C,C, Mr
3,male,26.0,0,0,8.05,,S, Mr
3,female,17.0,4,2,7.925,,S, Miss
3,female,,0,0,7.75,,Q, Miss
3,male,4.0,3,2,27.9,,S, Master
